#fields:Hanzi	Pinyin	English	HSK	Radical	Notes	Tags
爱	ài	love, to love, to cherish	1	爫	Love in all its forms: romantic, familial, and the Confucian ethic of universal benevolence.	emotion romance confucianism
白	bái	white, clear, plain, in vain	1	白	Sunlight on a single point. The character that names the color of mourning, the color of clarity, the empty plate, and the speech that hides nothing.	color clarity symbolism daily-life culture
百	bǎi	hundred; all kinds of	1	白	百姓, the hundred surnames, is classical Chinese for the common people, because the full range of ordinary family names stands in for everyone who is not nobility.	scale language history
北	běi	north; northern; to flee	2	匕	Two people standing back-to-back: the direction of cold and turning away that became the name of China's capital.	directions nature cosmology
必	bì	certainly; must; necessarily	3	心	A character rooted in the image of a blade that divides without exception: certainty as the sharpness that leaves no room for maybe.	grammar modal logic classical ethics philosophy
变	biàn	to change, to transform	3	又	The character at the heart of the I Ching, the dynastic cycle, and the modern vocabulary of reform: change as the one constant.	philosophy change
不	bù	no, not, negation	1	一	The most used character in Mandarin, and the foundation of every denial, refusal, and negation.	grammar negation syntax
茶	chá	tea	3	艹	The character that gave the world its word for tea: a grass over wood over man, a plant that shaped civilization, and the locus of China's richest material culture.	tea culture nature drink
产	chǎn	to produce, give birth, property, output	3	亠	From birth to bounty: a character that spans biological generation and industrial output, linking the miracle of birth to the logic of production and wealth.	economy commerce production birth
吃	chī	to eat	1	口	To eat, and the extraordinary range of Chinese life encoded in a single food verb.	food daily-life culture
出	chū	to exit, to emerge, to produce	2	凵	出 is two plants growing upward out of the earth: emergence itself written as a glyph, from physical exits to publication to standing out from the crowd.	motion direction daily-life
打	dǎ	to hit, to strike; the most versatile verb in Mandarin	1	扌	To hit, and a hundred extensions: make a call, play a sport, pack a bag, get an injection. The most productive light verb in Chinese.	daily-life grammar culture
大	dà	big, great, large	1	大	Big, great, large: a person with arms wide open, the original measure of magnitude.	cosmology scale daily-life
到	dào	to arrive, to reach; to	2	刀	As a resultative complement suffix, 到 converts any action verb into a claim of completion: 听到 means not just hearing but hearing that arrived, perception proven by contact.	motion grammar daily-life
道	dào	way, path	3	辶	The word that gave Daoism its name, and underlies every Chinese 'ism'.	daoism philosophy path
德	dé	virtue, moral power	4	彳	Virtue not as rule-following but as accumulated moral power: what radiates from a person whose conduct has been straight long enough to become second nature.	confucianism daoism ethics virtue philosophy
地	dì	earth, ground, land	1	土	Heaven above, earth below: the second power of the cosmos, and the root of every word about place, ground, and belonging.	nature geography
低	dī	low; to lower; to bow down	3	亻	A person stooping: the phonetic 氐 gives the sound while the human radical supplies the posture, and together they built one of the most culturally loaded words in modern Chinese.	adjectives daily-life scale degree
电	diàn	electricity, electric, telegram	2	雨	Lightning descending from a rain cloud, a character that jumped from describing the weather to naming the force that defines modern civilization.	culture daily
东	dōng	east; eastern	1	一	The sun rising behind a tree, and the direction that anchored China's cosmological, political, and poetic imagination.	directions nature cosmology
读	dú	to read aloud, to study	1	讠	Reading as the act of voicing what is written: the everyday verb for studying, declaiming a text, and (figuratively) interpreting a person, a situation, or a sign.	learning language education
多	duō	many; much; more; how	1	夕	Two evenings stacked: the character that encodes abundance, comparison, and the most common question about quantity in Mandarin.	adjectives scale grammar
耳	ěr	ear; to hear; handle	4	耳	The pictograph of an ear that anchors Chinese words for listening, fame, and the furred handles on bronze vessels.	body perception radical
二	èr	two; second	1	二	The number two encodes the foundational split that drives all of Chinese cosmology: yin and yang, the two forces from which everything else unfolds.	cosmology philosophy daoism yin-yang grammar vocabulary
风	fēng	wind; style; custom	3	风	The character that moves crops, carries seeds, and became the Chinese word for cultural character itself.	nature culture cosmology
佛	fó	Buddha, the awakened	5	亻	The character that carried an entire worldview across the Silk Road: etymology, Buddhism, the 佛-family of compounds.	religion buddhism culture
福	fú	fortune, blessing, good luck	3	示	The most recognized Chinese character in the world: fortune, blessing, and the art of the upside-down 福.	culture new-year symbolism
感	gǎn	to feel, to resonate	[object Object]	心	Feeling, perception, gratitude, and the cosmology of sympathetic resonance.	emotion perception gratitude
高	gāo	tall; high; elevated; surname	2	高	A tall palace gate rising above the ground, and the character that anchors Chinese words for excellence, happiness, and examination pressure simultaneously.	adjectives scale
告	gào	to tell, to announce, to report	3	口	A mouth aimed upward: the character for delivering words to authority, and the root of advertising, accusations, and warnings.	communication legal media
更	gèng	even more; to change; night watch	2	曰	A character that split across two readings: the comparative pulse of spoken Mandarin and the sonic clock of premodern China.	grammar adverb comparison degree timing classical
工	gōng	work, craft, labor, worker	2	工	Three strokes encoding heaven, earth, and the human craft connecting them: the root character for all labor, skill, and making in Chinese.	culture history
关	guān	to close, to concern, the frontier pass	1	丷	The bolt that closes a gate, the mountain pass that controls a frontier, and the relation that ties two people together. One character holds all three.	change connections social
广	guǎng	wide, broad, to spread	4	广	A radical and a word: the cliff-shelter that became the prefix for everything expansive, from Guangzhou to Guangdong to radio broadcasts.	space geography media
鬼	guǐ	ghost, the wandering dead	6	鬼	A pictograph of a spirit with an oversized head: the disembodied soul of the unvenerated dead, a folk-religion category distinct from deity, demon, and ancestor.	folk-religion religion culture classical symbolism ancestors
国	guó	country, nation, state	1	囗	A walled enclosure protecting its people: the Chinese concept of nationhood written in a single character.	politics society culture
好	hǎo	good; to like	1	女	Good, well, to like, and the tone split that doubles its expressive range.	virtue social daily-life
和	hé	harmony, and, with; peace	1	禾	和 carries the same concept across grammar and philosophy: grain and mouth together, the harmony of shared food and speech, a character that serves as both everyday conjunction and the Confucian ideal of a well-ordered world.	confucianism social grammar philosophy
后	hòu	back, behind, after; empress	1	口	One simplified character collapsed two completely separate traditional forms: 後 (a trailing foot in motion) and 后 (a commanding mouth), binding the spatial sense of behind with the imperial sense of empress in a single glyph.	direction time royalty grammar
火	huǒ	fire, flame, anger, popularity	1	火	Three flames rising: the character for fire and one of the most productive radicals in Chinese.	nature radical energy
家	jiā	home, family	1	宀	House, family, school of thought, nation (国家): the fractal of belonging.	family society home
见	jiàn	to see, to meet, to appear	1	见	An eye on legs. The character that built Chinese verbs of seeing, meeting, opinion, and the moment a thing first comes into view.	perception knowing daily-life
角	jiǎo	corner, horn, angle	[object Object]	角	Corner, horn, angle: the character that opens this site's name (角落書屋).	space geometry music
脚	jiǎo	foot, base	3	⺼	The everyday word for foot, and by extension the base of any standing thing: a mountain, a wall, a script. The flesh-and-bone counterpart to literary 足.	body movement space
金	jīn	gold, metal, money	3	金	Nuggets of gold beneath the earth, and one of the Five Phases that governs autumn, the west, and sharpness.	nature radical wuxing
近	jìn	near; close; recent	3	辶	Walking toward something as close as a hatchet strike, and the character that covers both spatial proximity and the specific historical era Chinese scholars call the modern period.	direction geography daily-life history
旧	jiù	old; used; former; worn	4	日	The antonym of 新, and much more than it. 旧 carries both the weight of cherished tradition and the stigma of backwardness, depending entirely on who is speaking.	history change classical daily-life
开	kāi	to open, to start, to operate	1	廾	Two hands lifting the bar across a closed gate. From that single image flow most of modern life: opening a door, starting a meeting, driving a car, writing a check, blooming.	change motion daily-life
看	kàn	to look, to watch, to read, to visit	1	目	看 = hand above eye, shielding from the sun to see in the distance: visual attention with effort, encoded in a gesture everyone has made.	perception daily-life grammar
可	kě	can; may; worth; quite	2	口	A two-stroke mouth character whose ancient sense of affirming breath became the pivot of permission, capability, and worth in classical and modern Chinese.	grammar modal ability permission classical syntax
空	kōng	empty, sky, void; in vain	3	穴	A cave with the work of hollowing inside it. The character that names the open sky, the empty room, the wasted afternoon, and the Buddhist śūnyatā at the heart of Chan.	buddhism philosophy cosmology chan meditation
口	kǒu	mouth, opening, entrance	3	口	A simple rectangle for an open mouth: one of the most productive radicals in the script, present in hundreds of characters for speaking, eating, and openings.	body culture
跨	kuà	to stride; to span; to bestride	4	足	The character of the long stride: a foot-radical verb that reaches from "step over a threshold" to "span an era" to the modern policy vocabulary of cross-border, cross-industry, cross-cultural everything.	movement border modern
快	kuài	fast, happy	2	忄	One character carries two meanings that turn out to be the same thing: speed and joy both feel like the heart cutting loose.	emotion daily-life adjectives
来	lái	to come, to arrive, toward the speaker	1	木	Oracle bone wheat plant turned direction-word: 来 pulls everything toward the speaker, including time itself.	direction motion grammar
老	lǎo	old, venerable, experienced	2	老	A stooped elder with long hair: age as wisdom, seniority as moral authority, and the Daoist sage who wrote the Daodejing.	confucianism family culture philosophy
雷	léi	thunder, the Arousing	5	雨	Rain over fields struck by lightning: the ancient pictograph of thunder that became a deity, a Yijing trigram, and a metaphor for decisive force.	nature cosmology religion gods wuxing
礼	lǐ	rites, ceremony, propriety	4	礻	The character that encodes Confucian social order: the ceremonial forms that bind family, society, and cosmos into one coherent whole.	confucianism radical culture
里	lǐ	inside, within; Chinese mile	1	里	From field stacked on earth, 里 named the bounded cultivated interior of a settlement and became the unit of distance that measured the realm's interior reach.	direction space daily-life geography
龙	lóng	dragon, the imperial symbol	3	龙	China's most powerful mythic creature: benevolent, not fearsome; the emperor's emblem and the Chinese people's self-described totem.	culture history
路	lù	road, path, route	2	足	The walked road, where 道 is the navigated way: 路 is the surface beneath the foot, the route the messenger takes, the journey of a life measured in distance.	path directions movement
落	luò	to fall, to settle, to land	[object Object]	艹	Falling, settling, and the beauty of things arriving at their place.	movement space settlement
慢	màn	slow, unhurried	3	忄	Pace becomes a moral register: 慢 màn carries the same heart radical as 快, and extends from physical slowness into social neglect and arrogance.	emotion daily-life adjectives
美	měi	beautiful, USA, delicious	2	羊	A large sheep carrying horns: beauty as abundance, sacrifice, and the pleasure of the highest good.	aesthetics culture philosophy
名	míng	name, fame, reputation	1	口	名 is 夕 dusk plus 口 mouth: darkness falls, you cannot see who approaches, so you call out a name. Identity asserted through speech.	confucianism language social names
明	míng	bright, clear, tomorrow	2	日	Sun and moon combined: brightness, clarity, dawn, and understanding.	light clarity time
命	mìng	life, fate, command	4	口	A mouth speaking an order: 令 above, 口 inside. The character that holds together three of the heaviest words in Chinese: life, destiny, and the command from above.	philosophy fate life classical ethics
木	mù	tree, wood	1	木	A tree seen whole: trunk, branches, roots. The pictograph that became a radical, a wuxing element, and the building block of 林, 森, 本, and 末.	radical nature wuxing cosmology
目	mù	eye; to look at; section heading	4	目	The pictograph of an eye that became the Chinese radical for everything seen, watched, and classified.	body perception radical
南	nán	south; southern	2	十	The direction that Chinese buildings face and emperors receive guests: warmth, productivity, and the seat of imperial ritual power.	directions nature cosmology
你	nǐ	you	1	人	The everyday second-person pronoun whose formal twin 您 embeds 心 (heart) directly into the character: address with warmth.	grammar social courtesy
年	nián	year	1	干	A person carrying a harvest of grain: year as the cycle of agricultural labor, and the heart of the Chinese New Year tradition.	culture history cosmology
女	nǚ	woman, female	2	女	A kneeling figure with crossed arms: one of the most productive radicals in the script, present in characters for family relationships, feelings, and cultural concepts.	family culture body
跑	pǎo	to run; to flee; to operate	2	足	The everyday verb of running: a foot-radical character whose semantic range stretches from "the legs in motion" to "running an errand" to "the engine is running" to a small but productive family of escape-and-flee compounds.	motion body daily-life
品	pǐn	article, grade, character, to taste	3	口	Three mouths stacked: a character about multiplicity, evaluation, and the discerning assessment of quality, from product grades to moral character.	evaluation quality culture commerce
其	qí	its, that, their	4	八	A winnowing basket that became the pronoun holding classical Chinese together: the silent 'its' behind thousands of literary phrases.	grammar classical literary particle language
气	qì	breath, vital energy	3	气	From weather to anger to the cosmic force underlying TCM and martial arts.	cosmology tcm energy
前	qián	front, before, forward; former	2	刀	Chinese places the past in front (前) and the future behind: the known faces you while the unknown approaches from behind, the inverse of the English spatial metaphor for time.	direction time philosophy grammar
钱	qián	money, coin, currency	1	钅	Money: the character that drives markets, proverbs, and the Chinese conversation about wealth.	daily-life economy culture
去	qù	to go, to leave, to depart, to remove	1	厶	The character that marks every departure, from leaving the house to the euphemism for death. 去 is the verb of things moving away.	direction motion grammar
人	rén	person, humanity	1	人	The character for human being, and its echo in 仁 rén, Confucian benevolence.	humanity confucianism radical
仁	rén	humaneness, the kernel of human relation	5	亻	The character that anchors Confucian ethics: 亻 + 二, the self in relation to another. Etymology, the virtue-cluster compounds, and the seed-kernel sense that links moral and botanical 仁.	confucianism ethics virtue philosophy
认	rèn	to recognize, to acknowledge	[object Object]	讠	The act of recognition: knowing something for what it is, owning up to it, and the small set of compounds that turn this on the world, on others, and on oneself.	knowing mind ethics
日	rì	sun, day, Japan	2	日	The oldest pictograph in the script: a circle with a dot for the sun, now a radical in hundreds of characters related to time, light, and warmth.	culture history cosmology
三	sān	three; thrice; repeatedly	1	一	Three is the number of completion in Chinese cosmology (Heaven, Earth, Human), and the numeral that generates the ten thousand things in Daoist thought.	cosmology philosophy language
